Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest
2011,1,Austria,6,Reg,2011828085,L-W12/2011,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.02752224694104561,0.02752224694104561,-0.0,0.02752224694104561,0.02752224694104561,-0.0,,,0.02752224694104561,,0.0,0.02752224694104561,,0.0,,,,,918,1.9793999999999999E-2,1.9793999999999999E-2,ALPHABETIZATION FOR WOMEN AND TRAINING FOR OLDER CHILDREN,Alphabetization for women and training for older children,11230,Basic life skills for youth & adults,112,I.1.b. Basic Education,22000,NATIONAL NGOs,Verein Phase Austria,,2011-11-01 00:00:00,2014-10-31 00:00:00,Untersttzung von Projekten zur Alphabetisierung von Frauen und Aufholklassen fr ltere Kinder,2,0,,0,,,,,0,0,0,0,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,6,Reg,2011828172,L-TIR04/2011,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,1.8075639599555063E-2,1.8075639599555063E-2,-0.0,1.8075639599555063E-2,1.8075639599555063E-2,-0.0,,,1.8075639599555063E-2,,0.0,1.8075639599555063E-2,,0.0,,,,,918,1.2999999999999999E-2,1.2999999999999999E-2,SUPPORT FOR THE CHILDREN'S VILLAGE IN LUMBINI,Support for the Children's Village in Lumbini,16010,Social/welfare services,160,I.6. Other Social Infrastructure & Services,22000,NATIONAL NGOs,SOS Kinderdorf,Lumbini,2011-01-01 00:00:00,2011-12-31 00:00:00,Untersttzung des SOS-Kinderdorfes in Lumbini,0,0,,0,,,,,0,0,0,0,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,6,Reg,2011828087,L-W14/2011,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,2.7808676307007792E-2,2.7808676307007792E-2,-0.0,2.7808676307007792E-2,2.7808676307007792E-2,-0.0,,,2.7808676307007792E-2,,0.0,2.7808676307007792E-2,,0.0,,,,,918,0.02,0.02,ALPHABETIZATION FOR WOMEN - PROMOTION OF WOMENS' RIGHTS,Alphabetization for women - promotion of womens' rights,11230,Basic life skills for youth & adults,112,I.1.b. Basic Education,22000,NATIONAL NGOs,ADRA sterreich,,2011-11-01 00:00:00,2012-06-30 00:00:00,Alphabetisierung fr Frauen - Frderung von Frauenrechten,2,0,,2,1,,,,0,0,0,0,2011-01-01 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,8,ADA,2011000078,2109-02geo11/2011,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E01,0.0,9.6839625973303683E-3,-0.0,0.0,9.6839625973303683E-3,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,6.9647059000000006E-3,IMPUTED DISBURSEMENT FOR ONE-WORLD SCHOLARSHIP PROGRAMME (2109-02),Imputed disbursement for One-World scholarship programme (2109-02),11420,Higher education,114,I.1.d. Post-Secondary Education,22000,NATIONAL NGOs,AAI Wien,,2010-10-01 00:00:00,2011-09-30 00:00:00,Eine-Welt-Stipendienprogramm (2109-02/AAI Wien): Lnderanteil auf Basis von Personen-Stipendienmonaten,1,1,,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2010500007,1980-06/2010,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.60066740823136822,-0.0,0.0,0.60066740823136822,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.432,"FRAME AGREEMENT FOR CO-FINANCING NGO ANNUAL PROGRAMME, BASIC HEALTH CARE FOR MARGINALIZED RURAL POPULATION IN THE HILLS OF EASTERN NEPAL, HUNKU","Frame agreement for co-financing NGO annual programme 2010-2012, basic health care for marginalized rural population in the hills of eastern Nepal, Hunku",12220,Basic health care,122,I.2.b. Basic Health,22000,NATIONAL NGOs,KO HIMAL,Hunku,2010-01-01 00:00:00,2012-12-31 00:00:00,"Rahmenprogramm KOHIMAL 2010 - 2012, Gesundheitsversorgung fr arme Bevlkerungsgruppen in Nepal",0,0,,0,,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2009500050,2319-12/2008,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,2.7808676307007792E-2,-0.0,0.0,2.7808676307007792E-2,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.02,NGO COFINANCE: IMPROVE THE HEALTH STATUS OF RURAL POOR IN ROLPA DISTRICT THROUGH REDUCING MORBIDITY RATE OF WATER BORNE DISEASES,NGO cofinance: Improve the health status of rural poor in Rolpa district through reducing morbidity rate of water borne diseases,12220,Basic health care,122,I.2.b. Basic Health,22000,NATIONAL NGOs,sterreichisches Rotes Kreuz,Rolpa district,2009-01-01 00:00:00,2011-12-31 00:00:00,"NRO-Kofinanzierungsprojekt: Verbesserung des Gesundheitszustands hinsichtlich der ber Wasser bertragbaren Krankheiten, Rolpa Distrikt",1,1,,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2011500068,2325-07/2011,1,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,7.3971078976640722E-2,3.6985539488320361E-2,-0.0,7.3971078976640722E-2,3.6985539488320361E-2,-0.0,,,7.3971078976640722E-2,,0.0,7.3971078976640722E-2,,0.0,,,,,918,5.3200000000000004E-2,2.6600000000000002E-2,"NGO/EU COFINANCE: SAMRAKSHAN - COMMUNITY BASED DISASTER PREVENTION AND PREPAREDNESS, WESTERN NEPAL","NGO/EU cofinance: SAMRAKSHAN - community based disaster prevention and preparedness, Western Nepal",74010,Disaster prevention and preparedness,740,VIII.3. Disaster Prevention & Preparedness,22000,NATIONAL NGOs,CARE sterreich,,2011-04-01 00:00:00,2013-03-31 00:00:00,NRO/EU-Kofinanzierung: SAMRAKSHAN - Gemeinschaftsbezogene Katastrophenvorsorge in Westnepal,0,2,,0,,,,,0,0,2,0,2011-05-10 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,8,ADA,2011500036,2325-03/2011,1,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.1459955506117909,3.5734149054505004E-2,-0.0,0.1459955506117909,3.5734149054505004E-2,-0.0,,,0.1459955506117909,,0.0,0.1459955506117909,,0.0,,,,,918,0.105,2.5700000000000001E-2,NGO/EU COFINANCE: PROTECTION OF HUMAN RIGHTS FOR NEPALESE LABOUR MIGRANTS - STRENGTHENING OF THEIR POSITION IN TARGET COUNTRIES AND IN NEPAL,NGO/EU cofinance: Protection of human rights for nepalese labour migrants - strengthening of their position in target countries and in Nepal,15160,Human rights,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE sterreich,,2011-01-01 00:00:00,2014-06-30 00:00:00,NRO/EU-Kofinanzierung: Sicherung der Rechte fr nepalische Migrantinnen - Untersttzung zivilgesellschaftlicher Organisationen,2,0,,2,1,,,,0,0,0,0,2011-03-14 00:00:00,,,,,,,100.0,,,,,,
2011,1,Austria,8,ADA,2011000029,0245-geo09/2011,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E01,0.0,3.6759269605116801E-2,-0.0,0.0,3.6759269605116801E-2,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,0.0264372667,HOTEL & TOURISM MANAGEMENT COURSE,Hotel & tourism management course,33210,Tourism policy and admin. management,332,III.3.b. Tourism,22000,NATIONAL NGOs,ARGE Tourismus Salzburg,,2010-10-01 00:00:00,2011-09-30 00:00:00,Lehrgang Tourismus- und Hotelmanagement: Lnderanteil auf Basis von Personen-Stipendienmonaten,1,1,0,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
2011,1,Austria,8,ADA,2010500001al,0894-00/2009-geo12,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E01,0.0,0.10034728976640711,-0.0,0.0,0.10034728976640711,-0.0,,,0.0,,0.0,0.0,,0.0,,,,,918,0.0,7.2169770799999991E-2,HIGHER EDUCATION COOPERATION PROGRAMME APPEAR - GRADUATE AND POST-GRADUATE SCHOLARSHIPS,Higher education cooperation programme APPEAR - graduate and post-graduate scholarships,11420,Higher education,114,I.1.d. Post-Secondary Education,22000,NATIONAL NGOs,AD GmbH,,2009-12-01 00:00:00,2014-11-30 00:00:00,Higher education cooperation programme APPEAR - graduate and post-graduate scholarships,1,0,,0,1,,,,0,0,0,0,,,,,,,,,,,,,,
