Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest
2012,1,Austria,6,Reg,2012828162,L-W13/2012,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.02570694087403599,0.02570694087403599,-0.0,2.7259965073014911E-2,2.7259965073014911E-2,-0.0,,,0.02570694087403599,0.0,0.0,2.7259965073014911E-2,0.0,0.0,,,,,918,0.02,0.02,HEALTH AND EDUCATION AS CHILDREN S RIGHTS,Health and education as children s rights,16050,Multisector aid for basic soc. serv.,160,I.6. Other Social Infrastructure & Services,22000,NATIONAL NGOs,Phase Austria,,2012-12-20 00:00:00,2013-10-31 00:00:00,Gesundheit und Bildung als Kinderrechte,1,0,,0,,,,,,,,,2012-12-20 00:00:00,,,,,,,100.0,,,,,,
2012,1,Austria,6,Reg,2012828128,L-VBG18/2012,8,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,1.5424164524421594E-2,1.5424164524421594E-2,-0.0,1.6355979043808946E-2,1.6355979043808946E-2,-0.0,,,1.5424164524421594E-2,0.0,0.0,1.6355979043808946E-2,0.0,0.0,,,,,918,0.012,0.012,EXTENSION OF DRINKING WATER SUPPLY,Extension of drinking water supply,14021,Water supply - large systems,140,I.4. Water Supply & Sanitation,22000,NATIONAL NGOs,Rotary Club,,2012-01-01 00:00:00,2012-12-31 00:00:00,"Erweiterung der Trinkwasserversorgung, 2. Rate",0,0,,0,,,1,,,,,,2012-01-01 00:00:00,,,,,,,100.0,,,,,,
2012,1,Austria,8,ADA,2012000029,0245-geo12/2012,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E01,0.0,1.9750411311053984E-2,-0.0,0.0,2.0943585825911701E-2,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,1.5365819999999999E-2,HOTEL & TOURISM MANAGEMENT COURSE,Hotel & tourism management course,33210,Tourism policy and admin. management,332,III.3.b. Tourism,22000,NATIONAL NGOs,ARGE Tourismus Salzburg,,2011-10-01 00:00:00,2012-09-30 00:00:00,Lehrgang Tourismus- und Hotelmanagement: Lnderanteil auf Basis von Personen-Stipendienmonaten,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2011500068,2325-07/2011,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,2.0565552699228794E-2,-0.0,0.0,0.02180797205841193,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,0.016,"NGO/EU COFINANCE: SAMRAKSHAN - COMMUNITY BASED DISASTER PREVENTION AND PREPAREDNESS, WESTERN NEPAL","NGO/EU cofinance: SAMRAKSHAN - community based disaster prevention and preparedness, Western Nepal",74010,Disaster prevention and preparedness,740,VIII.3. Disaster Prevention & Preparedness,22000,NATIONAL NGOs,CARE,,2011-04-01 00:00:00,2013-03-31 00:00:00,NRO/EU-Kofinanzierung: SAMRAKSHAN - Gemeinschaftsbezogene Katastrophenvorsorge in Westnepal,0,2,,0,,,,,,,2,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2010500001bn,0894-00/2009-geo40,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,D02,0.0,0.12491002570694089,-0.0,0.0,0.13245617028977946,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,9.7180000000000002E-2,HIGHER EDUCATION COOPERATION PROGRAMME APPEAR - ACADEMIC PARTNERSHIP WITH  TRIBHUVAN UNIVERSITY  IN KATHMANDU,Higher education cooperation programme APPEAR - Academic partnership with  Tribhuvan University  in Kathmandu - Project42,11420,Higher education,114,I.1.d. Post-Secondary Education,22000,NATIONAL NGOs,AD GmbH,Kathmandu,2011-07-17 00:00:00,2014-07-16 00:00:00,Higher education cooperation programme APPEAR - Academic partnership with  Tribhuvan University  in Kathmandu - Project42,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2010500001al,0894-00/2009-geo12,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,E01,0.0,9.1691054370179936E-2,-0.0,0.0,9.7230353151957744E-2,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,7.1335640299999989E-2,HIGHER EDUCATION COOPERATION PROGRAMME APPEAR - GRADUATE AND POST-GRADUATE SCHOLARSHIPS,Higher education cooperation programme APPEAR - graduate and post-graduate scholarships,11420,Higher education,114,I.1.d. Post-Secondary Education,22000,NATIONAL NGOs,AD GmbH,,2009-12-01 00:00:00,2014-11-30 00:00:00,Higher education cooperation programme APPEAR - graduate and post-graduate scholarships,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2010500006b,1980-02/2010-geo2,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.11003784061696659,-0.0,0.0,0.1166855172160183,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,8.5609440000000009E-2,FRAME AGREEMENT FOR CO-FINANCING NGO ANNUAL PROGRAMME 2010-2012: WOMEN EMPOWERMENT FOR TRANSFORMATION IN THE CHURIA AREA,Frame agreement for co-financing NGO annual programme 2010-2012: Women empowerment for transformation in the Churia area,15170,Women's equality organisations and institutions,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE,Churia,2010-01-01 00:00:00,2012-12-31 00:00:00,Rahmenprogramm Care 2010-2012: SAKCHAM: Women empowerment for transformation in the Churia area,2,0,,2,1,,,,,,,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2008500065,2325-01/2008,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,0.11645244215938302,-0.0,0.0,0.12348764178075754,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,0.0906,NGO/EU COFINANCE: STRENGTHENING OF WOMENS ORGANISATIONS IN CHURIA,NGO/EU cofinance: strengthening of womens organisations in Churia,15170,Women's equality organisations and institutions,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE,Churia,2008-01-01 00:00:00,2013-06-30 00:00:00,"NRO/EU-Kofinanzierungsprojekt: SHAKTI - Frauenfrderung in Churia, Strkung der Kapazitten von vier Frauen-Organisationen",2,1,,1,1,,,,,,,,,,,,,,,,,,,,,
2012,1,Austria,8,ADA,2012500006,2319-09/2012,1,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.12724935732647816,5.1413881748071981E-2,-0.0,0.1349368271114238,5.4519930146029821E-2,-0.0,,,0.12724935732647816,0.0,0.0,0.1349368271114238,0.0,0.0,,,,,918,9.9000000000000005E-2,4.0000000000000001E-2,"NGO COFINANCE: CONSTRUCTION OF DRINKING WATER SUPPLY AND SANITATION FACILITIES IN CHEPUWA, EASTERN NEPAL","NGO cofinance: Construction of drinking water supply and sanitation facilities in Chepuwa, Eastern Nepal",14030,Basic drinking water supply and basic sanitation,140,I.4. Water Supply & Sanitation,22000,NATIONAL NGOs,Nepalhilfe Aruntal,,2012-09-01 00:00:00,2015-08-31 00:00:00,NRO-Kofinanzierungsprojekt: Lndliche Entwicklung und Trinkwasser in  Chepuwa - Trinkwassersysteme und sanitre Einrichtungen in Ost-Nepal,1,1,,1,,,1,,,,,,2012-01-01 00:00:00,,,,,,,100.0,,,,,,
2012,1,Austria,8,ADA,2011500036,2325-03/2011,3,660,Nepal,,,10016,LDCs,11,ODA Grants,1,10,110,C01,0.0,5.0642673521850895E-2,-0.0,0.0,5.3702131193839368E-2,-0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,918,0.0,3.9399999999999998E-2,NGO/EU COFINANCE: PROTECTION OF HUMAN RIGHTS FOR NEPALESE LABOUR MIGRANTS - STRENGTHENING OF THEIR POSITION IN TARGET COUNTRIES AND IN NEPAL,NGO/EU cofinance: Protection of human rights for nepalese labour migrants - strengthening of their position in target countries and in Nepal,15160,Human rights,151,I.5.a. Government & Civil Society-general,22000,NATIONAL NGOs,CARE,,2011-01-01 00:00:00,2014-06-30 00:00:00,NRO/EU-Kofinanzierung: Sicherung der Rechte fr nepalische Migrantinnen - Untersttzung zivilgesellschaftlicher Organisationen,2,0,,2,1,,,,,,,,,,,,,,,,,,,,,
